 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
80,116720125,8,6,329,11595,323,0,41.125,113.9140497,5792,0,1932.5,2181.008184,102.1589036,0.119945039,8978471.154,27900000.0,101000000,1,117000000,16700000.0,37500000.0,101000000,1,49375,9875.0,16456.2086,38072,45,0,0,260,200,0.068540023,0.051405017,0,5792,794.9333333,1621.659224,2629778.638,0,0,0,0,1,0,0,0,0,851.7142857,41.125,1932.5,260,8,329,6,11595,274,235,2,20,1953.0,0.0,1953,1953,58300000.0,59900000.0,101000000,16000000,1
443,65786328,17,15,3684,4723,3357,0,216.7058824,811.148165,2896,0,314.8666667,804.0804745,127.7925103,0.486423258,2122139.613,4015527.555,10000000,8,65800000,4111645.5,4885343.239,10100000,231,65700000,4695306.429,4971421.251,10100000,36,0,0,552,488,0.258412356,0.228010902,0,3357,254.7575758,785.0702608,616335.3144,0,0,0,1,0,0,0,0,0,262.71875,216.7058824,314.8666667,552,17,3684,15,4723,29200,136,3,32,854290.5,1968009.468,4871473,50746,10000000.0,9105.405883,10000000,10000000,0
80,84983202,5,7,381,11595,369,0,76.2,163.7076663,5792,0,1656.428571,2119.480114,140.9219671,0.141204376,7725745.636,25600000.0,84800000,4,84900000,21200000.0,42400000.0,84800000,4,85000000,14200000.0,34600000.0,84800000,87,0,0,144,232,0.058835157,0.082369219,0,5792,921.6923077,1713.962679,2937668.064,1,0,0,0,0,0,0,0,1,998.5,76.2,1656.428571,144,5,381,7,11595,0,235,2,20,9970.0,0.0,9970,9970,84800000.0,0.0,84800000,84800000,1
80,63133922,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110875418,10500000.0,11900000.0,32100000,998570,63100000,10500000.0,11900000.0,32100000,998570,0,0.0,0.0,0,0,0,0,280,0,0.110875418,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,7,0,0,0,29200,-1,0,40,7006519.0,0.0,7006519,7006519,18700000.0,12200000.0,32100000,8015902,1
53,76968,2,2,80,336,40,40,40.0,0.0,168,168,168.0,0.0,5404.843571,51.96964972,25656.0,44434.03143,76964,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,80,64,25.98482486,25.98482486,40,168,91.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,114.0,40.0,168.0,80,2,80,2,336,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,0
53,250941,2,2,82,340,41,41,41.0,0.0,170,170,170.0,0.0,1681.6701933921,15.9400018331,83647.0,144873.925697484,250933,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,40,64,7.9700009166,7.9700009166,41,170,92.6,70.6562099182,4992.3,0,0,0,0,0,0,0,0,1,115.75,41.0,170.0,40,2,82,2,340,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53410,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,350,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
39717,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,1,0,1,0,285,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
545,41,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,195121.9512,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,24390.2439,24390.2439,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
