 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
49176,85,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,94117.64706,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,11764.70588,11764.70588,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
7999,41,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,146341.4634,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,24390.2439,24390.2439,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
443,254558,31,32,887,68021,405,0,28.61290323,87.23710121,4344,0,2125.65625,1212.686743,270696.6585,247.4878024,4105.774194,9958.89233,40830,0,254558,8485.266667,13789.80729,44665,0,204070,6582.903226,15116.54191,65006,18,0,0,1004,1032,121.7797123,125.7080901,0,4344,1076.6875,1358.333793,1845070.694,0,0,0,1,0,0,0,0,1,1093.777778,28.61290323,2125.65625,1004,31,887,32,68021,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,84965439,8,4,324,11595,324,0,40.5,114.5512986,8688,0,2898.75,4095.56617,140.2805675,0.141233896,7724130.818,25600000.0,84800000,1,84800000,12100000.0,32100000.0,84800000,1,149782,49927.33333,73708.62574,134609,189,0,0,264,136,0.094155931,0.047077965,0,8688,916.8461538,2468.283474,6092423.308,0,0,0,0,1,0,0,0,0,993.25,40.5,2898.75,264,8,324,4,11595,274,235,1,32,988.0,0.0,988,988,84800000.0,0.0,84800000,84800000,1
5802,85,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,70588.23529,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,11764.70588,11764.70588,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
80,85209088,5,7,362,11595,350,0,72.4,155.2121129,4344,0,1656.428571,1760.597234,140.3254075,0.140830049,7746280.727,25600000.0,85100000,5,85100000,21300000.0,42500000.0,85100000,5,85200000,14200000.0,34700000.0,85100000,15,0,0,144,232,0.058679187,0.082150862,0,4344,920.2307692,1497.731404,2243199.359,1,0,0,0,0,0,0,0,1,996.9166667,72.4,1656.428571,144,5,362,7,11595,0,235,2,20,11017.0,0.0,11017,11017,85100000.0,0.0,85100000,85100000,1
56500,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.6666666667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,64,0,41666.6666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,357,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,31227,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,6148.5253146316,128.0942773882,10409.0,18023.7207035617,31221,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,64,40,64.0471386941,64.0471386941,40,56,46.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,64,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
59996,11491967,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.132622988,0.522103831,2298393.4,5124957.407,11500000,4,0,0.0,0.0,0,0,11500000,2869175.5,5731343.925,11500000,4,0,0,20,100,0.087017305,0.435086526,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,1,6,5,30,229,0,0,20,25778.0,0.0,25778,25778,11500000.0,0.0,11500000,11500000,0
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
